     -6.95          0          6
     -6.95          0          6
     -6.95          0          6
     -6.95          0          6
     -6.95          0          6
     -6.95          0          6
  -6.94625          0          6
    -6.935          0          6
  -6.91625          0          6
     -6.89          0          6
  -6.85625          0          6
    -6.815          0          6
  -6.76625          0          6
     -6.71          0          6
  -6.64625          0          6
    -6.575          0          6
  -6.49625          0          6
     -6.41          0          6
  -6.31625          0          6
    -6.215          0          6
  -6.10625          0          6
     -5.99          0          6
  -5.86625          0          6
    -5.735          0          6
  -5.59625          0          6
     -5.45          0          6
      -5.3          0          6
     -5.15          0          6
        -5          0          6
     -4.85          0          6
      -4.7          0          6
     -4.55          0          6
      -4.4          0          6
     -4.25          0          6
      -4.1          0          6
     -3.95    -0.0049    5.99624
      -3.8 -0.0189435    5.97891
     -3.65 -0.0421306    5.93954
      -3.5 -0.0829482    5.86831
     -3.35  -0.143846     5.7525
      -3.2  -0.212095    5.58477
     -3.05  -0.272993     5.3651
      -2.9   -0.31381    5.10085
     -2.75  -0.335772    4.80475
      -2.6  -0.347366     4.4866
     -2.45  -0.349816    4.15489
      -2.3  -0.347366    3.82677
     -2.15  -0.344916    3.51334
        -2  -0.342466    3.21462
     -1.85  -0.340016     2.9306
      -1.7  -0.337566    2.66127
     -1.55  -0.335116    2.40665
      -1.4  -0.332666    2.16672
     -1.25  -0.330216     1.9415
      -1.1  -0.327766    1.73098
     -0.95  -0.325316    1.53515
      -0.8  -0.322866    1.35403
     -0.65  -0.320416     1.1876
      -0.5  -0.317966    1.03588
     -0.35  -0.315516   0.898855
      -0.2  -0.313066   0.776531
     -0.05  -0.310616   0.668907
       0.1  -0.308166   0.575983
      0.25  -0.305716   0.497759
       0.4  -0.303266   0.434235
      0.55  -0.300816   0.385411
       0.7  -0.298366   0.351286
      0.85  -0.295916   0.331862
         1  -0.293466   0.327138
      1.15  -0.291016   0.337114
       1.3  -0.288566    0.36179
      1.45  -0.286116   0.401166
       1.6  -0.283666   0.455242
      1.75  -0.281216   0.524018
       1.9  -0.278766   0.607494
      2.05  -0.276316    0.70567
       2.2  -0.264066    0.81592
      2.35  -0.232216   0.935618
       2.5  -0.180766    1.06476
      2.65  -0.109716    1.20336
       2.8  -0.019066     1.3514
      2.95   0.091184    1.50889
       3.1   0.221034    1.67583
